date,value
2016-08-11,16.2687504291534
2016-08-12,16.2954169909159
2016-08-13,16.3487498760223
2016-08-14,16.4162499904633
2016-08-15,16.4595834414164
2016-08-16,16.4983332951864
2016-08-17,16.5220833619436
2016-08-18,16.5645831425985
2016-08-19,16.6166667143504
2016-08-20,16.6787501176198
2016-08-23,16.79416680336
2016-08-24,16.8800001939138
2016-08-25,16.9866667588552
2016-08-26,17.0912498633067
2016-08-27,17.1887498696645
2016-08-28,17.2845834891001
2016-08-29,17.3670833905538
2016-08-30,17.4045830567678
2016-08-31,17.4262498219808
2016-09-01,17.4641665617625
2016-09-02,17.5008333524068
2016-09-03,17.5400002002716
2016-09-04,17.5691663424174
2016-09-05,17.5695830186208
2016-09-06,17.5916668574015
2016-09-16,17.681666692098
2016-09-17,17.6291666825612
2016-09-18,17.5549999078115
2016-09-19,17.5204170544942
2016-09-20,17.4504169623057
2016-09-21,17.4300003051758
2016-09-22,17.3891664346059
2016-09-23,17.3387500445048
2016-09-24,17.3224997520447
2016-09-25,17.2741669813792
2016-09-26,17.2470832665761
2016-09-27,17.1966669559479
2016-09-28,17.1687500476837
2016-09-29,17.1687500476837
2016-09-30,17.1620832284292
2016-10-01,17.1154170036316
2016-10-02,17.0925002098084
2016-10-03,17.0458333492279
2016-10-04,17.023333867391
2016-10-05,16.9883330663045
2016-10-06,16.9695827166239
2016-10-07,16.9862496852875
2016-10-08,17.0029167334239
2016-10-09,17.0145836671193
2016-10-10,17.0204171339671
2016-10-11,17.0408338705699
2016-10-12,17.0333340962728
2016-10-13,17.0450000762939
2016-10-14,17.0695830186208
2016-10-15,17.1004170576731
2016-10-16,17.1470828851064
2016-10-17,17.1762502193451
2016-10-18,17.2025000254313
2016-10-19,17.2354163328807
2016-10-20,17.222499370575
2016-10-21,17.2349996566772
2016-10-22,17.2620836098989
2016-10-23,17.2725005149841
2016-10-24,17.2691671053569
2016-10-25,17.2737505435944
2016-10-26,17.2604169050852
2016-10-27,17.2608335812887
2016-10-28,17.2970835367839
2016-10-29,17.3129162788391
2016-10-31,17.2391664187113
2016-11-01,17.2558334668477
2016-11-02,17.2212496598562
2016-11-03,17.1537497838338
2016-11-04,17.103333791097
2016-11-05,17.096250295639
2016-11-06,17.077916542689
2016-11-07,17.0412502288818
2016-11-12,16.6754163901011
2016-11-13,16.5729163487752
